benchmark,model,model_id,score,duration_s,error
metacog_canary,Nova Pro,amazon.nova-pro-v1:0,0.726,36.3,
metacog_calibration,Nova Pro,amazon.nova-pro-v1:0,0.0,82.0,
metacog_control,Nova Pro,amazon.nova-pro-v1:0,0.7479,40.5,
metacog_epistemic_humility,Nova Pro,amazon.nova-pro-v1:0,0.8756,72.7,
metacog_epistemic_revision,Nova Pro,amazon.nova-pro-v1:0,0.75,81.2,
metacog_error_detection,Nova Pro,amazon.nova-pro-v1:0,0.786,80.9,
metacog_fok,Nova Pro,amazon.nova-pro-v1:0,0.4155,250.8,
metacog_jol,Nova Pro,amazon.nova-pro-v1:0,0.4019,73.4,
metacog_learning_monitoring,Nova Pro,amazon.nova-pro-v1:0,0.9101,62.5,
metacog_canary,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.9947,110.3,
metacog_calibration,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.9984,488.2,
metacog_control,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.69,133.4,
metacog_epistemic_humility,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.7987,233.1,
metacog_epistemic_revision,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.96,329.3,
metacog_error_detection,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.9622,331.0,
metacog_fok,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.5983,1265.7,
metacog_jol,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.4643,422.9,
metacog_learning_monitoring,Claude Opus 4.6,anthropic.claude-opus-4-6-v1,0.8093,529.4,
metacog_canary,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.9886,68.6,
metacog_calibration,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.5035,215.3,
metacog_control,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.35,97.5,
metacog_epistemic_humility,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.8376,181.5,
metacog_epistemic_revision,Claude Sonnet 4.6,anthropic.claude-sonnet-4-6,0.96,212.8,
