benchmark,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek-R1,GLM 4.7,GPT-OSS-120B,Llama 3.3 70B,Llama 4 Maverick 17B,Ministral 3B,Nova Pro,Qwen3 Next 80B
attention_divided,0.9306,0.9167,0.9375,0.8958,0.9375,0.8264,0.9275,0.4139,0.6894,0.8803
attention_instruction_update,0.9833,0.9833,0.9833,0.9083,0.9833,0.9525,0.9750,0.2992,0.6121,0.8800
attention_selective,0.8950,0.8950,0.8950,0.9350,0.9350,0.8700,0.9500,0.7750,0.8200,0.9100
attention_vigilance,0.8559,0.8647,1.0000,0.5893,1.0000,0.5803,0.8559,0.5677,0.5857,0.6811
learning_curriculum,0.7000,0.7000,0.5200,0.7000,0.7000,0.7600,0.7000,0.6800,0.4600,0.4600
learning_curves,0.7267,0.7167,0.6133,0.7250,0.6900,0.5467,0.6517,0.5617,0.6550,ERROR
learning_interference,0.1200,1.0000,0.4500,0.4500,0.5000,0.4000,0.4000,0.4410,0.7830,0.9300
learning_transfer,1.0000,1.0000,1.0000,0.8700,1.0000,0.5200,0.8800,0.2800,0.5500,0.7500
exec_func_crt,0.9142,0.8000,0.7005,0.7389,0.6447,0.6116,0.5732,0.4542,0.5126,0.8637
exec_func_nback,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6835,0.5136,0.8060,ERROR
exec_func_task_switch,1.0000,0.9005,1.0000,0.9315,1.0000,0.7225,0.9587,0.7750,0.7125,0.8100
exec_func_tol,0.8000,0.0000,0.1533,0.0000,0.6800,0.1533,0.0000,0.1600,0.2800,0.2900
exec_func_wcst,1.0000,0.6985,0.6392,0.4719,0.5309,0.4792,0.4614,0.2607,0.5264,1.0000
social_cog_emotional_prosody,0.8022,0.8356,0.8272,0.7694,0.8139,0.8383,0.8217,0.6856,0.8300,0.8578
social_cog_false_belief,0.5833,0.7937,0.7083,0.5938,0.3771,0.8625,1.0000,0.6823,0.6375,0.8625
social_cog_pragmatic,0.8674,0.7774,0.6782,0.9200,0.9560,0.8680,0.9120,0.4757,0.3041,0.5691
social_cog_sarcasm,0.9261,0.8147,0.8936,0.9450,0.9100,0.9239,0.4636,0.7972,0.8536,0.8627
metacog_calibration,0.9984,0.5035,0.0000,0.0251,0.1241,0.0000,0.0000,0.0000,0.0000,0.0000
metacog_canary,0.9947,0.9886,0.8670,0.6520,0.8030,1.0000,0.9280,0.0000,0.7260,0.9920
metacog_control,0.6900,0.3500,0.4533,0.6617,0.6887,0.6617,0.6150,0.2000,0.7479,0.4246
metacog_epistemic_humility,0.7987,0.8376,0.8802,0.8833,0.6629,0.9200,0.9029,0.2000,0.8756,0.9200
metacog_epistemic_revision,0.9600,0.9600,0.7375,0.7500,0.7200,0.7500,0.8300,0.6700,0.7500,0.8800
metacog_error_detection,0.9622,0.9735,0.8978,0.8840,0.8978,0.8768,0.7479,0.8100,0.7860,0.7843
metacog_fok,0.5983,0.6452,0.5956,0.5397,0.5900,0.6059,0.5674,0.4132,0.4155,0.6354
metacog_jol,0.4643,0.4631,0.2759,0.4010,0.2000,0.4647,0.4647,0.4315,0.4019,0.3627
metacog_learning_monitoring,0.8093,0.7068,0.8942,0.9098,0.8912,0.8144,0.8262,0.6906,0.9101,0.8910
