track,benchmark,Claude Opus 4.6,DeepSeek-R1,GPT-OSS-120B,Llama 3.3 70B,Qwen3 Next 80B,Nova Pro,Llama 4 Maverick 17B,Claude Sonnet 4.6,GLM 4.7,Ministral 3B
metacognition,metacog_canary,0.9947,0.8670,0.8030,1.0000,0.9920,0.7260,0.9280,0.9886,0.6520,0.0000
metacognition,metacog_calibration,,0.0000,,,,,0.0000,,,
metacognition,metacog_control,0.6900,0.4533,0.6887,0.6617,0.4246,0.7479,0.6150,0.3500,0.6617,0.2000
metacognition,metacog_epistemic_humility,0.7987,0.8802,0.6629,0.9200,0.9200,0.8756,0.9029,0.8376,0.8833,0.2000
metacognition,metacog_epistemic_revision,0.9600,0.7375,0.7200,0.7500,0.8800,0.7500,0.8300,0.9600,0.7500,0.6700
metacognition,metacog_error_detection,0.9664,0.9781,0.9079,0.8666,0.8410,0.8628,0.9472,0.9667,0.9156,0.6491
metacognition,metacog_fok,0.5983,0.5956,0.5900,0.6059,0.6354,0.4155,0.5674,0.6452,0.5397,0.4132
metacognition,metacog_jol,0.4643,0.2759,0.2000,0.4647,0.3627,0.4019,0.4647,0.4631,0.4010,0.4315
metacognition,metacog_learning_monitoring,0.8093,0.8942,0.8912,0.8144,0.8910,0.9101,0.8262,0.7068,0.9098,0.6906
learning,learning_curves,0.7873,0.7413,0.6855,0.4542,,0.4430,0.5667,0.6606,0.5074,0.4410
learning,learning_transfer,1.0000,1.0000,1.0000,0.5200,0.7500,0.5500,0.8800,1.0000,0.8700,0.2800
learning,learning_interference,0.1200,0.4500,0.5000,0.4000,0.9300,0.7830,0.4000,1.0000,0.4500,0.4410
learning,learning_curriculum,0.7000,0.5200,0.7000,0.7600,0.4600,0.4600,0.7000,0.7000,0.7000,0.6800
attention,attention_selective,0.9500,0.9600,0.9600,0.8767,0.7300,0.8350,0.7567,0.9583,0.7167,0.5233
attention,attention_vigilance,0.8559,1.0000,1.0000,0.5803,0.6811,0.5857,0.8559,0.8647,0.5893,0.5677
attention,attention_divided,0.9306,0.9375,0.9375,0.8264,0.8803,0.6894,0.9275,0.9167,0.8958,0.4139
attention,attention_instruction_update,0.9833,0.9833,0.9833,0.9525,0.8800,0.6121,0.9750,0.9833,0.9083,0.2992
executive_functions,exec_func_wcst,1.0000,0.6392,0.5309,0.4792,1.0000,0.5264,0.4614,0.6985,0.4719,0.2607
executive_functions,exec_func_tol,0.8000,0.1533,0.6800,0.1533,0.2900,0.2800,0.0000,0.0000,0.0000,0.1600
executive_functions,exec_func_task_switch,1.0000,1.0000,1.0000,0.7225,0.8100,0.7125,0.9587,0.9005,0.9315,0.7750
executive_functions,exec_func_nback,1.0000,1.0000,1.0000,1.0000,,0.8060,0.6835,1.0000,1.0000,0.5136
executive_functions,exec_func_crt,0.9142,0.7005,0.6447,0.6116,0.8637,0.5126,0.5732,0.8000,0.7389,0.4542
social_cognition,social_cog_false_belief,0.5833,0.7083,0.3771,0.8625,0.8625,0.6375,1.0000,0.7937,0.5938,0.6823
social_cognition,social_cog_pragmatic,0.8674,0.6782,0.9560,0.8680,0.5691,0.3041,0.9120,0.7774,0.9200,0.4757
social_cognition,social_cog_sarcasm,0.9261,0.8936,0.9100,0.9239,0.8627,0.8536,0.4636,0.8147,0.9450,0.7972
social_cognition,social_cog_emotional_prosody,0.5563,0.3285,0.3498,0.2939,0.4036,0.2502,0.3408,0.4518,0.3948,0.3077
