benchmark,Nova Pro,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek-R1,Llama 3.3 70B,Llama 4 Maverick 17B,Ministral 3B,GPT-OSS-120B,Qwen3 Next 80B,GLM 4.7
attention_divided,0.9167,0.9333,0.9167,0.9333,0.9000,0.9167,ERROR,ERROR,ERROR,0.9333
attention_instruction_update,ERROR,ERROR,ERROR,ERROR,0.4282,0.4036,ERROR,ERROR,ERROR,ERROR
attention_selective,0.8850,ERROR,0.8950,ERROR,0.8700,0.9500,ERROR,ERROR,ERROR,ERROR
attention_vigilance,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
exec_func_crt,0.3500,0.3500,0.3500,0.3854,0.3300,0.3500,0.3500,0.4207,0.3500,0.3941
exec_func_nback,0.7238,ERROR,1.0000,ERROR,1.0000,0.6465,ERROR,ERROR,ERROR,ERROR
exec_func_task_switch,0.5795,1.0000,1.0000,ERROR,1.0000,1.0000,1.0000,ERROR,ERROR,ERROR
exec_func_tol,0.0000,ERROR,0.0000,ERROR,0.1533,0.0000,0.0000,ERROR,ERROR,ERROR
exec_func_wcst,0.4641,0.6175,0.6974,ERROR,0.4852,0.4385,0.4782,ERROR,ERROR,0.4719
learning_curriculum,0.5200,0.7000,0.7000,0.7600,0.4600,0.7000,0.6800,ERROR,0.7600,0.7000
learning_curves,0.6950,ERROR,0.7167,ERROR,0.5383,0.6450,ERROR,ERROR,ERROR,ERROR
learning_interference,0.4500,0.5000,0.5000,0.5000,0.4000,0.4000,0.4500,ERROR,0.5500,0.4500
learning_transfer,0.6100,1.0000,1.0000,1.0000,0.5200,0.8100,0.3500,1.0000,ERROR,ERROR
metacog_calibration,0.0000,ERROR,0.3676,0.0000,0.0000,0.0000,ERROR,ERROR,ERROR,ERROR
metacog_canary,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
metacog_control,0.7479,0.6900,0.3500,0.4483,0.6617,0.5267,0.2125,0.6887,ERROR,0.6617
metacog_epistemic_humility,0.9200,0.7969,0.8393,0.8741,0.9214,0.9071,0.2000,ERROR,0.9157,ERROR
metacog_epistemic_revision,0.7992,ERROR,0.7900,0.8200,0.8225,0.8225,0.8017,ERROR,0.7933,0.8075
metacog_error_detection,0.7349,ERROR,0.9742,0.8989,0.7714,0.9527,ERROR,0.8978,0.7843,0.8840
metacog_fok,0.4469,ERROR,ERROR,ERROR,0.5673,0.5674,ERROR,ERROR,ERROR,ERROR
metacog_jol,0.4005,0.4643,0.4631,ERROR,0.4647,0.4647,0.4315,0.2000,ERROR,ERROR
metacog_learning_monitoring,0.9156,ERROR,0.6884,ERROR,0.7998,0.8184,ERROR,ERROR,ERROR,ERROR
social_cog_emotional_prosody,0.8300,0.8022,0.8522,0.7772,0.8383,0.7994,0.6856,0.7472,0.8444,0.7828
social_cog_false_belief,0.9300,ERROR,1.0000,1.0000,1.0000,0.9700,ERROR,0.9050,0.9050,1.0000
social_cog_pragmatic,0.7800,ERROR,1.0000,0.9560,0.8240,0.8240,0.8240,0.8680,ERROR,1.0000
social_cog_sarcasm,0.8878,ERROR,ERROR,ERROR,0.9183,0.5258,0.7972,0.8976,ERROR,0.9400
