model,metacog_canary,metacog_fok,metacog_jol,metacog_calibration,metacog_error_detection,metacog_learning_monitoring,metacog_control,metacog_epistemic_revision,metacog_epistemic_humility
Claude Opus 4.6,0.8574,0.6090,0.4908,0.5726,0.9587,0.7814,0.6900,0.9600,0.7969
DeepSeek-R1,0.8489,0.6198,0.2000,0.5615,0.9081,0.8936,0.2125,0.7500,0.8756
GPT-OSS-120B,0.5816,0.6696,0.2000,0.6183,0.9078,0.8665,0.6887,0.6400,
Llama 3.3 70B,0.3240,0.6097,0.5000,0.4181,0.8681,0.7973,0.6617,0.7500,0.9214
Qwen3 Next 80B,0.4341,0.6303,0.2764,0.4913,0.8410,0.9000,0.2000,0.9200,0.9186
Nova Pro,0.3730,0.4330,0.3645,0.4694,0.8268,0.8977,0.6567,0.7900,0.9200
Llama 4 Maverick 17B,0.4954,0.5674,0.4548,0.5663,0.9536,0.8041,0.6150,0.8300,0.8943
Claude Sonnet 4.6,0.8749,0.6396,0.5000,0.6324,0.9665,0.7044,0.3500,0.9200,0.8376
GLM 4.7,0.6669,0.5397,0.4363,0.4991,0.8237,0.8754,0.6617,0.7500,0.8833
Ministral 3B,0.0000,0.3883,0.3394,0.3828,0.6583,0.6232,0.2125,0.6300,0.2000
